Date,HighTemperature
01/01/2014,23.3
02/01/2014,25.6
03/01/2014,26.9
04/01/2014,27.3
05/01/2014,24.6
06/01/2014,23.4
07/01/2014,23.9
08/01/2014,23.9
09/01/2014,21.1
10/01/2014,23.3
11/01/2014,22.8
12/01/2014,21.6
13/01/2014,25.1
14/01/2014,21.6
15/01/2014,24.7
16/01/2014,22.8
17/01/2014,21.8
18/01/2014,23.2
19/01/2014,24
20/01/2014,22.7
21/01/2014,22.7
22/01/2014,25.6
23/01/2014,21.9
24/01/2014,23.3
25/01/2014,25
26/01/2014,23.2
27/01/2014,21.1
28/01/2014,21.8
29/01/2014,24.9
30/01/2014,22.8
31/01/2014,25.2
01/02/2014,26.3
02/02/2014,25.1
03/02/2014,24.6
04/02/2014,23.7
05/02/2014,25.1
06/02/2014,23.4
07/02/2014,22.7
08/02/2014,24.7
09/02/2014,26
10/02/2014,25.2
11/02/2014,23.6
12/02/2014,23.8
13/02/2014,22.9
14/02/2014,23.4
15/02/2014,24.2
16/02/2014,25.9
17/02/2014,26.2
18/02/2014,27.3
19/02/2014,25.7
20/02/2014,25.5
21/02/2014,26.7
22/02/2014,26.7
23/02/2014,23.7
24/02/2014,24.1
25/02/2014,23.3
26/02/2014,25.6
27/02/2014,26
28/02/2014,25.1
01/03/2014,21.7
02/03/2014,22.5
03/03/2014,22.2
04/03/2014,20.6
05/03/2014,20.8
06/03/2014,23.8
07/03/2014,24.4
08/03/2014,24.1
09/03/2014,24.7
10/03/2014,24.4
11/03/2014,24.1
12/03/2014,24.3
13/03/2014,24.8
14/03/2014,22.9
15/03/2014,22.6
16/03/2014,24.2
17/03/2014,25.8
18/03/2014,25.3
19/03/2014,24.5
20/03/2014,22.8
21/03/2014,24.8
22/03/2014,23.2
23/03/2014,24.7
24/03/2014,24.3
25/03/2014,22.7
26/03/2014,20.9
27/03/2014,22.8
28/03/2014,24.2
29/03/2014,23.3
30/03/2014,24.1
31/03/2014,24.8
01/04/2014,23.8
02/04/2014,24.4
03/04/2014,22.4
04/04/2014,22.5
05/04/2014,22.4
06/04/2014,24.3
07/04/2014,24.6
08/04/2014,24.9
09/04/2014,24.7
10/04/2014,23.7
11/04/2014,23.8
12/04/2014,22.3
13/04/2014,22.7
14/04/2014,23.4
15/04/2014,22.6
16/04/2014,22.6
17/04/2014,23.1
18/04/2014,23.6
19/04/2014,23.3
20/04/2014,21
21/04/2014,20.4
22/04/2014,20.5
23/04/2014,20
24/04/2014,21.3
25/04/2014,21.7
26/04/2014,19.6
27/04/2014,18.7
28/04/2014,18.4
29/04/2014,18.6
30/04/2014,19.3
01/05/2014,19.3
02/05/2014,18.7
03/05/2014,20.3
04/05/2014,20.9
05/05/2014,19.9
06/05/2014,22.1
07/05/2014,21.1
08/05/2014,19.8
09/05/2014,19.6
10/05/2014,18
11/05/2014,18.9
12/05/2014,19.3
13/05/2014,19.2
14/05/2014,17.2
15/05/2014,17.1
16/05/2014,16.4
17/05/2014,17.7
18/05/2014,18.3
19/05/2014,19.8
20/05/2014,18.9
21/05/2014,19.3
22/05/2014,17.4
23/05/2014,18.6
24/05/2014,20.9
25/05/2014,19.1
26/05/2014,15.3
27/05/2014,12.9
28/05/2014,13.8
29/05/2014,17.3
30/05/2014,17.7
31/05/2014,16.7
01/06/2014,15.5
02/06/2014,16.6
03/06/2014,18.9
04/06/2014,16.8
05/06/2014,16.9
06/06/2014,17.4
07/06/2014,18.9
08/06/2014,18.8
09/06/2014,18.3
10/06/2014,16.1
11/06/2014,19.1
12/06/2014,17.7
13/06/2014,16.9
14/06/2014,16.7
15/06/2014,16.2
16/06/2014,16.9
17/06/2014,18.3
18/06/2014,16.2
19/06/2014,14.7
20/06/2014,15.8
21/06/2014,16.7
22/06/2014,18.2
23/06/2014,17.4
24/06/2014,17.3
25/06/2014,16.8
26/06/2014,18.4
27/06/2014,16.6
28/06/2014,15.7
29/06/2014,15.4
30/06/2014,16.2
01/07/2014,16
02/07/2014,13.7
03/07/2014,12.9
04/07/2014,12.5
05/07/2014,17.1
06/07/2014,15.6
07/07/2014,14.1
08/07/2014,14.1
09/07/2014,14.3
10/07/2014,15.6
11/07/2014,16.5
12/07/2014,14.9
13/07/2014,16.2
14/07/2014,12.1
15/07/2014,14.3
16/07/2014,12.9
17/07/2014,12.4
18/07/2014,11.2
19/07/2014,12.6
20/07/2014,13.7
21/07/2014,14.9
22/07/2014,11.1
23/07/2014,14.5
24/07/2014,13.9
25/07/2014,14.4
26/07/2014,14.1
27/07/2014,14.8
28/07/2014,13.9
29/07/2014,15.8
30/07/2014,18
31/07/2014,18.7
01/08/2014,16.5
02/08/2014,18.5
03/08/2014,15.6
04/08/2014,15.4
05/08/2014,15.2
06/08/2014,15.6
07/08/2014,14.7
08/08/2014,15.2
09/08/2014,12.7
10/08/2014,15.2
11/08/2014,16.7
12/08/2014,16
13/08/2014,14.1
14/08/2014,13.8
15/08/2014,14.5
16/08/2014,15.3
17/08/2014,16.3
18/08/2014,15.4
19/08/2014,14.8
20/08/2014,16.2
21/08/2014,15.9
22/08/2014,12.9
23/08/2014,16
24/08/2014,16.3
25/08/2014,15.2
26/08/2014,15.1
27/08/2014,14.6
28/08/2014,15.8
29/08/2014,16.8
30/08/2014,13.5
31/08/2014,13.9
01/09/2014,11.6
02/09/2014,19.5
03/09/2014,17.7
04/09/2014,18.3
05/09/2014,19.1
06/09/2014,19.1
07/09/2014,19.7
08/09/2014,16.7
09/09/2014,18.2
10/09/2014,17.3
11/09/2014,18.1
12/09/2014,16
13/09/2014,17.7
14/09/2014,16.2
15/09/2014,17.3
16/09/2014,17.3
17/09/2014,16.6
18/09/2014,16.5
19/09/2014,19
20/09/2014,16.3
21/09/2014,14.8
22/09/2014,14.5
23/09/2014,16.8
24/09/2014,17.3
25/09/2014,17.6
26/09/2014,18.4
27/09/2014,16.9
28/09/2014,19.6
29/09/2014,18.2
30/09/2014,19.2
01/10/2014,19
02/10/2014,18.8
03/10/2014,17.2
04/10/2014,14.4
05/10/2014,17.1
06/10/2014,18.1
07/10/2014,16.7
08/10/2014,19.7
09/10/2014,17.3
10/10/2014,17.8
11/10/2014,20.2
12/10/2014,18.5
13/10/2014,19.6
14/10/2014,20.7
15/10/2014,21.2
16/10/2014,19.7
17/10/2014,20.9
18/10/2014,17.8
19/10/2014,19.8
20/10/2014,18
21/10/2014,18.7
22/10/2014,19.8
23/10/2014,20.4
24/10/2014,18
25/10/2014,17.5
26/10/2014,17.7
27/10/2014,19.3
28/10/2014,20.2
29/10/2014,19.4
30/10/2014,18
31/10/2014,19.3
01/11/2014,21.6
02/11/2014,22.7
03/11/2014,19
04/11/2014,17.3
05/11/2014,19.2
06/11/2014,16.7
07/11/2014,18.6
08/11/2014,19.3
09/11/2014,21
10/11/2014,21.5
11/11/2014,21.3
12/11/2014,18.1
13/11/2014,16.9
14/11/2014,18.7
15/11/2014,19.1
16/11/2014,20.1
17/11/2014,20.2
18/11/2014,20.6
19/11/2014,20.6
20/11/2014,18.6
21/11/2014,20.8
22/11/2014,22.7
23/11/2014,21.9
24/11/2014,21
25/11/2014,25
26/11/2014,21.5
27/11/2014,22.9
28/11/2014,21.6
29/11/2014,18.8
30/11/2014,21.3
01/12/2014,18.6
02/12/2014,20.5
03/12/2014,21.1
04/12/2014,20.8
05/12/2014,23.1
06/12/2014,23.7
07/12/2014,23.6
08/12/2014,23.9
09/12/2014,20
10/12/2014,24.9
11/12/2014,23.5
12/12/2014,19.3
13/12/2014,17.9
14/12/2014,18.1
15/12/2014,20.2
16/12/2014,17.7
17/12/2014,20.5
18/12/2014,22.9
19/12/2014,24.4
20/12/2014,21.8
21/12/2014,25.6
22/12/2014,24.1
23/12/2014,23.3
24/12/2014,24.2
25/12/2014,23.3
